cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.0913729133029268,3.2025885227384814,0.34057352519830386,-0.2662194039997644,9356
alpha,alpha_B,-0.08016264333854684,3.1400105594132213,0.34362151810297475,-0.27673974844117166,9342
alpha,alpha_C,-0.0010913617438397909,3.463291551697335,0.27757807545051666,-0.27677314145504656,9342
alpha,alpha_D,-0.08392994691793498,3.147032795415094,0.3443446031630747,-0.27451729070206615,9361
alpha,alpha_E,-0.1671589526045359,3.2554469069926744,0.3656333237801257,-0.23235054819796797,9362
alpha,alpha_F,-0.20760686558898084,3.197249942919691,0.3908864477012184,-0.2214948300203378,9364
alpha,alpha_G,0.04283789198881941,3.4663855510706054,0.26121378574115256,-0.2927745879565194,9360
alpha,alpha_H,-0.09151287064815129,3.1849247666867524,0.3428134519003171,-0.26782233967082847,9356
alpha,alpha_I,-0.056947396497036964,3.179366295103319,0.32897840588366734,-0.2822129082624838,9353
alpha,alpha_J,-0.1073368665371887,3.211319321300811,0.3461811635213566,-0.25913218172868385,9341
beta,beta_A,-4.274195383769826,2.0584394420931145,11.03773855561961,4.284635578715956,1954
beta,beta_B,-5.193238151954853,2.28566356245713,13.052399340217788,5.695201475633645,2058
beta,beta_C,-4.550218570775238,2.1468051723532535,11.356828043751698,4.611689170907651,1951
beta,beta_D,-4.450263771780001,2.123041972886491,11.124999338249552,4.457970942988493,2105
beta,beta_E,-4.350841688949829,2.092573488942517,10.990196589029862,4.334926818589621,1983
beta,beta_F,-4.370002466645964,2.075653436316142,11.348937875419804,4.458393509994726,2004
beta,beta_G,-4.9167393454053965,2.3526707270182476,10.58831679417933,4.639026509569845,2006
beta,beta_H,-4.738646566664802,2.213133341550952,11.478387342151583,4.802555079995795,1955
