
=== p4_abs_llr_mask: pooled ===
cohort              group  n_days  n_rpf  energy_iou  energy_precision  day_f1  day_precision  day_recall  sure_day_recall  sure_day_uncertain_rate  rate_auto_correct  rate_uncertain    ece
 alpha           headline   10425   3381      0.8462            0.8617  0.9421         0.9735      0.9127           0.9127                   0.0346             0.3041          0.0173 0.0238
  beta           headline    2305    470      0.8472            0.9122  0.9009         0.9569      0.8511           0.8511                   0.0787             0.1813          0.0495 0.0133
  beta unsure_sensitivity     617    159      0.3785            0.5133  0.5342         0.5865      0.4906              NaN                      NaN             0.2156          0.1605    NaN

=== p4_abs_llr_mask: per station (headline days only) ===
cohort station  n_days  n_rpf  required_mwh  energy_iou  energy_precision  sure_day_recall  sure_day_uncertain_rate  day_precision  day_f1  rate_auto_correct
 alpha alpha_A    1039      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
 alpha alpha_B    1055     27        29.610       0.428             0.439            0.667                    0.111          0.857   0.750              0.020
 alpha alpha_C    1055    627      3752.316       0.816             0.832            0.903                    0.043          0.966   0.933              0.555
 alpha alpha_D    1035      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
 alpha alpha_E    1035    700      6326.578       0.875             0.889            0.920                    0.029          0.988   0.953              0.630
 alpha alpha_F    1033    842     13356.830       0.862             0.875            0.939                    0.032          0.991   0.965              0.773
 alpha alpha_G    1037    650      5828.545       0.851             0.873            0.934                    0.025          0.963   0.948              0.608
 alpha alpha_H    1039      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
 alpha alpha_I    1042    148      1199.691       0.732             0.746            0.865                    0.047          0.948   0.905              0.130
 alpha alpha_J    1055    387      1542.087       0.777             0.799            0.858                    0.044          0.954   0.903              0.330
  beta  beta_A     337     26       754.997       0.916             0.972            0.885                    0.000          1.000   0.939              0.068
  beta  beta_B     231    125      4769.172       0.846             0.918            0.824                    0.112          1.000   0.904              0.446
  beta  beta_C     339      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
  beta  beta_D     188     45       475.144       0.649             0.975            0.489                    0.156          1.000   0.657              0.117
  beta  beta_E     306     21        87.115       0.921             0.933            1.000                    0.000          1.000   1.000              0.069
  beta  beta_F     286    164      1578.026       0.918             0.943            0.933                    0.061          0.962   0.947              0.556
  beta  beta_G     283     85      2201.513       0.825             0.855            0.906                    0.059          0.865   0.885              0.314
  beta  beta_H     335      4        30.180       0.171             0.775            0.250                    0.250          1.000   0.400              0.003
