cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.8687236912630318,4.066466981536299,0.5249982061945606,0.005282810749449793,9358
alpha,alpha_B,-0.8307999314685907,4.025785510772009,0.5171557379925131,-0.004106473106598532,9343
alpha,alpha_C,-0.8539617067233354,4.342747150614665,0.47956381119155705,0.0015356550775346006,9343
alpha,alpha_D,-0.8449307018155886,4.002994948521477,0.526138393249191,-0.0005915217595739324,9363
alpha,alpha_E,-0.9679201101644338,4.096650894204795,0.5575250223388966,0.0298818763338496,9364
alpha,alpha_F,-0.9814389954019753,4.0370204959437945,0.573011161014636,0.033785964156953556,9366
alpha,alpha_G,-0.827508730755453,4.298089695852351,0.47648315788346035,-0.004614784073101259,9362
alpha,alpha_H,-0.8638520692694398,4.046894807878979,0.5262753344606363,0.004098973204978261,9358
alpha,alpha_I,-0.8304754530161184,4.080139951720946,0.5086343599961274,-0.004131508882933096,9355
alpha,alpha_J,-0.8914410905550331,4.1045075763748695,0.5274763707854178,0.010812858499519502,9343
beta,beta_A,-4.214419126187236,2.423167680721906,7.075900061371467,3.0130580444546498,1961
beta,beta_B,-4.71773005410855,2.477238545843936,8.45424912513,3.7702459068060357,2067
beta,beta_C,-4.414639292371108,2.4739455580815592,7.389168162435283,3.228995117315054,1959
beta,beta_D,-5.437855858172352,2.921196860645922,7.598330106830543,3.8136940610515504,2110
beta,beta_E,-4.2728596166091535,2.4319309678361973,7.210285284219191,3.0901305493663482,1992
beta,beta_F,-4.267759110346006,2.408444755000474,7.362862982050434,3.1379273452469043,2013
beta,beta_G,-4.4335881427843065,2.5568183241304117,6.888555808774927,3.0659112964548463,2014
beta,beta_H,-4.437499592378531,2.483352960959355,7.398805866113328,3.2448538556131528,1963
