cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,0.23157860519406712,6.741230595012085,0.09563743789316673,-0.17355953950682773,9358
alpha,alpha_B,0.2255673641105631,6.562239868548357,0.09937698348078206,-0.17761440957126204,9343
alpha,alpha_C,0.24921382577905882,6.854834904070514,0.09116938851212009,-0.17346603623612997,9343
alpha,alpha_D,0.2324900072667151,6.656370134636445,0.09676378730584254,-0.1761174579414409,9363
alpha,alpha_E,0.17891276234268044,6.672187193005334,0.10536413216079625,-0.16626254679903263,9364
alpha,alpha_F,0.12867088480787947,6.647022545255647,0.11417320863268761,-0.15815469430722542,9366
alpha,alpha_G,0.36384684113675503,7.306769189425103,0.0684027896464114,-0.18028570179858533,9362
alpha,alpha_H,0.23161958408897773,6.71788194513718,0.09597861584814257,-0.17421966412259146,9358
alpha,alpha_I,0.2277577761284978,6.565697024359533,0.09895545144404858,-0.17790593914505015,9355
alpha,alpha_J,0.21243071112507206,6.576088033472227,0.10135557892122103,-0.17485975282909452,9343
beta,beta_A,-2.226023603458244,2.8081501510031415,1.987476881591951,0.6339051428815987,1961
beta,beta_B,-2.789910624209088,2.930381862831697,2.45978455151928,0.9404528459839248,2067
beta,beta_C,-2.336819662657152,2.7969635428924544,2.121830059473556,0.7032694246991713,1959
beta,beta_D,-2.52030584408186,3.021729995239797,2.047928407182807,0.7396065937963179,2110
beta,beta_E,-2.3510906312321382,2.8304326393660664,2.09565607263474,0.701132686209188,1992
beta,beta_F,-2.34476985733729,2.8128376807327085,2.1106171881494755,0.7029645225287542,2013
beta,beta_G,-2.6074020482916467,3.0932798047772625,2.0551858257151494,0.7665156464373393,2014
beta,beta_H,-2.4108116967405033,2.8736981130425896,2.107345743116008,0.723017775768078,1963
