cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.8687236912630318,4.066466981536299,0.5249982061945606,0.005282810749449793,9358
alpha,alpha_B,-0.8307999314685907,4.025785510772009,0.5171557379925131,-0.004106473106598532,9343
alpha,alpha_C,-0.8539617067233354,4.342747150614665,0.47956381119155705,0.0015356550775346006,9343
alpha,alpha_D,-0.8449307018155886,4.002994948521477,0.526138393249191,-0.0005915217595739324,9363
alpha,alpha_E,-0.9679201101644338,4.096650894204795,0.5575250223388966,0.0298818763338496,9364
alpha,alpha_F,-0.9814389954019753,4.0370204959437945,0.573011161014636,0.033785964156953556,9366
alpha,alpha_G,-0.827508730755453,4.298089695852351,0.47648315788346035,-0.004614784073101259,9362
alpha,alpha_H,-0.8638520692694398,4.046894807878979,0.5262753344606363,0.004098973204978261,9358
alpha,alpha_I,-0.8304754530161184,4.080139951720946,0.5086343599961274,-0.004131508882933096,9355
alpha,alpha_J,-0.8914410905550331,4.1045075763748695,0.5274763707854178,0.010812858499519502,9343
beta,beta_A,-5.223050218119289,2.883160063720903,7.210793398480469,3.561690038248985,1961
beta,beta_B,-6.274883819977442,3.1895650205165187,8.327465380983185,4.483094546273047,2067
beta,beta_C,-5.570607438936495,3.011667858347763,7.423400820745762,3.798660495741233,1959
beta,beta_D,-5.630868084793552,3.010132876381792,7.603074113597504,3.8996111015025017,2110
beta,beta_E,-5.3458092607306185,2.9296919132545227,7.280560944027988,3.6435983783993597,1992
beta,beta_F,-5.372306392554567,2.9358170901513803,7.318864782807552,3.670711718262056,2013
beta,beta_G,-5.781582482921679,3.207205298644962,6.900066875168244,3.6575975713219364,2014
beta,beta_H,-5.646095427432384,3.0419411876119415,7.453846751345949,3.8430490554079277,1963
