cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,0.5479036493866848,0.7399307986408202,0.49873978286855,-5.590200524580771,9346
alpha,alpha_B,0.6374623977225274,0.7107490479388485,0.3434372435972368,-7.076896757096652,9332
alpha,alpha_C,0.5876191536828512,0.776298020811892,0.39725422267984006,-5.349715357902169,9332
alpha,alpha_D,0.5549234558356173,0.7318104970036506,0.49111179859258985,-5.794401322521343,9351
alpha,alpha_E,0.46392937436529447,0.7531882735048943,0.6636171385760217,-4.702486736270762,9352
alpha,alpha_F,0.4608805277317348,0.7372727559329162,0.6889671702430207,-4.896434992384009,9354
alpha,alpha_G,0.5918828408202138,0.7394259386737752,0.4125878785424675,-6.00307040411372,9350
alpha,alpha_H,0.5500120347636508,0.7362598312830272,0.49747208860821107,-5.67152772940671,9346
alpha,alpha_I,0.5480375276403288,0.745098639819443,0.4942711216144468,-5.505743867523853,9343
alpha,alpha_J,0.5465437224418215,0.7424881085271243,0.49939630730327517,-5.535558367959922,9332
beta,beta_A,-3.6292041786463614,0.7488367062027714,393.6271999970543,40.05737836306844,1893
beta,beta_B,-4.250580135058779,0.8395382072969046,432.6512368651225,56.61339440188207,1976
beta,beta_C,-4.079172482463139,0.8217696620502175,400.3977406905022,50.05089076140257,1870
beta,beta_D,-3.8883995297203153,0.8283788451481404,302.9385679918664,38.29700851746577,2072
beta,beta_E,-5.200423974928547,0.9900614309521845,448.63264168875617,80.19261185337956,1905
beta,beta_F,-3.886975844123938,0.770500632806732,465.10572243785094,50.67989201511668,1926
beta,beta_G,-3.9121076706730564,0.7953053705390245,396.17418692691166,46.163790519761925,1925
beta,beta_H,-4.335848982805721,0.8624043791609647,406.52893031441937,56.11949160547665,1875
