cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.5787923269885086,2.927081776028588,0.6277609949091478,-0.09607046197722113,9358
alpha,alpha_B,-0.5483491057434665,2.899433901803294,0.6182600638063152,-0.10860880939107909,9343
alpha,alpha_C,-0.5414284593827524,3.1158591160792257,0.5615768630839812,-0.10314517519835521,9343
alpha,alpha_D,-0.5605595465050461,2.8869405407989115,0.6285078248730511,-0.1044224803431076,9363
alpha,alpha_E,-0.663419529035031,2.974121481956964,0.6618877640030412,-0.06377733747573212,9364
alpha,alpha_F,-0.6955287660138518,2.9102953895890002,0.6991483566937702,-0.05353274342958306,9366
alpha,alpha_G,-0.4909418616994024,3.131171912935563,0.5332545076997541,-0.12053824430148907,9362
alpha,alpha_H,-0.5752044958472209,2.914521213564075,0.6291755886471544,-0.09785450595793296,9358
alpha,alpha_I,-0.5541017492752152,2.9211566247877028,0.615656451370205,-0.10557976341189211,9355
alpha,alpha_J,-0.6166370183304691,2.9526461628154372,0.6418183419989125,-0.08125244651524359,9343
beta,beta_A,-5.845224465861881,2.5704689844040836,12.51255388839292,5.989183277554468,1961
beta,beta_B,-7.18987316276517,2.9273277085859,14.573423845841031,7.729233589089562,2067
beta,beta_C,-6.357777888658733,2.7376707679481247,12.899139965598806,6.484507206870799,1959
beta,beta_D,-6.358097262578056,2.7245160530617767,13.078536082461088,6.558486138329631,2110
beta,beta_E,-6.046009622763093,2.6378619895478623,12.642878175196232,6.176451653280187,1992
beta,beta_F,-6.116473501637114,2.6658782757368003,12.628818318203129,6.217619709522716,2013
beta,beta_G,-6.616904640475916,2.9138994403322798,11.956343081704636,6.2429564707536915,2014
beta,beta_H,-6.437350976007122,2.7583546701615607,13.026380451540376,6.588164134543078,1963
