
=== r1a_fullday: pooled ===
cohort              group  n_days  n_rpf  energy_iou  energy_precision  day_f1  day_precision  day_recall  sure_day_recall  sure_day_uncertain_rate  rate_auto_correct  rate_uncertain    ece
 alpha           headline   10425   3381      0.8516            0.8869  0.9493         0.9698      0.9296           0.9296                   0.0414             0.3109          0.0268 0.0081
  beta           headline    2305    470      0.8355            0.9242  0.8318         0.9070      0.7681           0.7681                   0.1638             0.1727          0.0972 0.0177
  beta unsure_sensitivity     617    159      0.3151            0.4843  0.3971         0.4779      0.3396              NaN                      NaN             0.1831          0.3598    NaN

=== r1a_fullday: per station (headline days only) ===
cohort station  n_days  n_rpf  required_mwh  energy_iou  energy_precision  sure_day_recall  sure_day_uncertain_rate  day_precision  day_f1  rate_auto_correct
 alpha alpha_A    1039      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
 alpha alpha_B    1055     27        29.610       0.359             0.367            0.630                    0.370          0.810   0.708              0.020
 alpha alpha_C    1055    627      3752.316       0.817             0.855            0.925                    0.038          0.956   0.940              0.575
 alpha alpha_D    1035      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
 alpha alpha_E    1035    700      6326.578       0.876             0.920            0.936                    0.033          0.982   0.958              0.644
 alpha alpha_F    1033    842     13356.830       0.875             0.903            0.957                    0.024          0.988   0.972              0.790
 alpha alpha_G    1037    650      5828.545       0.851             0.895            0.946                    0.040          0.961   0.953              0.617
 alpha alpha_H    1039      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
 alpha alpha_I    1042    148      1199.691       0.718             0.747            0.892                    0.047          0.964   0.926              0.131
 alpha alpha_J    1055    387      1542.087       0.790             0.824            0.873                    0.078          0.958   0.914              0.335
  beta  beta_A     337     26       754.997       0.916             0.973            0.885                    0.077          0.958   0.920              0.071
  beta  beta_B     231    125      4769.172       0.844             0.939            0.776                    0.184          1.000   0.874              0.420
  beta  beta_C     339      0         0.000       0.000               NaN              NaN                      NaN            NaN   0.000              0.000
  beta  beta_D     188     45       475.144       0.566             0.841            0.511                    0.489          0.676   0.582              0.181
  beta  beta_E     306     21        87.115       0.000               NaN            0.000                    0.333            NaN   0.000              0.000
  beta  beta_F     286    164      1578.026       0.909             0.957            0.860                    0.104          0.928   0.892              0.531
  beta  beta_G     283     85      2201.513       0.842             0.873            0.906                    0.059          0.846   0.875              0.322
  beta  beta_H     335      4        30.180       0.000               NaN            0.000                    0.250            NaN   0.000              0.000
