cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,0.6055570613821124,0.8714653226715815,0.3196885680965162,-4.296998062182072,9346
alpha,alpha_B,0.6480962854965534,0.850193097195991,0.26402562309976085,-4.8059755728213505,9332
alpha,alpha_C,0.6526593571829167,0.901222634263905,0.2410671444856776,-4.282281619135976,9332
alpha,alpha_D,0.608077240583444,0.8662563876672866,0.31805151798052134,-4.365954689111082,9351
alpha,alpha_E,0.5255259645180302,0.8787111550246036,0.4422237549806127,-3.769851800212642,9352
alpha,alpha_F,0.5295796526830885,0.8685364897331384,0.441679428796393,-3.8806801739006866,9354
alpha,alpha_G,0.668362307630245,0.8737323007976522,0.22727281071527597,-4.667206273248612,9350
alpha,alpha_H,0.6063258646852653,0.8691599373498189,0.3194922613909297,-4.325181334918818,9346
alpha,alpha_I,0.6015364058005079,0.8787358033293878,0.322701398534069,-4.200585308925476,9343
alpha,alpha_J,0.6187884761305187,0.8640238867875886,0.30274182843167946,-4.456525732245207,9332
beta,beta_A,-4.823753339543407,1.1788456552672015,121.815309998445,28.17106704082002,1893
beta,beta_B,-5.673988179797083,1.2806771129639742,161.72490027115055,42.33055770686425,1976
beta,beta_C,-5.372884357856082,1.278260824501425,128.81743506642874,33.48156852962234,1870
beta,beta_D,-5.17210369569818,1.2847462712004762,107.34107116375134,27.97033394399543,2072
beta,beta_E,-6.086485437792716,1.3945831751605076,143.30651137025976,41.81174805163581,1905
beta,beta_F,-5.298623326536449,1.257446999815854,131.63731845068173,33.46590740621057,1926
beta,beta_G,-5.3555724591672735,1.3079690480037174,113.70548203129192,30.398957177355143,1925
beta,beta_H,-5.556464588773294,1.3116027269835708,130.94628235262246,35.24824903503136,1875
