cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,0.6140941819224391,0.870494086576126,0.307213877986814,-4.359161611955756,9346
alpha,alpha_B,0.6652179934793833,0.8474071198131015,0.23969706671082944,-4.9588355451351385,9332
alpha,alpha_C,0.6565315929690004,0.9026638475931338,0.23532858772733667,-4.290911646152032,9332
alpha,alpha_D,0.617072506135694,0.864863611807664,0.3049940110549974,-4.436745833197893,9351
alpha,alpha_E,0.5368232519815236,0.8789230052688594,0.42367901367805244,-3.8297380001866532,9352
alpha,alpha_F,0.5387162211414851,0.8684431666795864,0.42664764055816434,-3.9331393684164526,9354
alpha,alpha_G,0.6701074426659129,0.8757514012230213,0.2242514367432679,-4.6558451601321895,9350
alpha,alpha_H,0.6148958355714093,0.8681218732898746,0.3069637256107194,-4.388777008768572,9346
alpha,alpha_I,0.6086164879074932,0.8706715673369095,0.31539209985949085,-4.323728956540571,9343
alpha,alpha_J,0.6280086937932501,0.8656134775984781,0.2883132663291052,-4.4977996461492324,9332
beta,beta_A,-4.771708816487636,1.1637363621181525,124.01314940222561,28.144052671517432,1893
beta,beta_B,-5.315681394420972,1.2129906450244803,159.90490018850213,38.79630664745175,1976
beta,beta_C,-5.3010194683553635,1.2644631764847019,128.3333707909441,32.85962349246122,1870
beta,beta_D,-5.068853249662058,1.2685154204147375,105.04235003397397,26.881115688433134,2072
beta,beta_E,-6.303936164834294,1.4404425245139858,142.2525379298186,43.17539760805943,1905
beta,beta_F,-5.096284269294022,1.2210456800554028,129.01067009283202,31.45300889169166,1926
beta,beta_G,-5.233215134310696,1.275925459582623,116.39809810713315,30.10722317655245,1925
beta,beta_H,-5.651031999673265,1.332278192606684,130.31608987497796,35.805745426847444,1875
