cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,0.24092328286620385,5.268929705334444,0.12196875878625395,-0.22941140370221158,9346
alpha,alpha_B,0.2639572127750515,5.180909618831394,0.11917773763243542,-0.2392301517497108,9332
alpha,alpha_C,0.28674921451512114,5.40724600105579,0.1092301321919886,-0.2333416751260229,9332
alpha,alpha_D,0.2492285586304971,5.217312993835068,0.12146029409746141,-0.2338886892400363,9351
alpha,alpha_E,0.17022395769467455,5.302721257401151,0.13619417473438486,-0.2115332733113233,9352
alpha,alpha_F,0.1260456330773104,5.135541373384482,0.1507837945576836,-0.20868240461944076,9354
alpha,alpha_G,0.29761994411411613,5.414884190061993,0.106843648568025,-0.23545462483879323,9350
alpha,alpha_H,0.24413434167788065,5.238939018360302,0.12202024783409846,-0.2316204858503275,9346
alpha,alpha_I,0.2540630260078218,5.186977669937009,0.12116692275114618,-0.2365582455496019,9343
alpha,alpha_J,0.2388172423068945,5.3363177794922425,0.12078161072670865,-0.2257252237248897,9332
beta,beta_A,-2.318635883684442,3.8894653123571774,1.2568648107472251,0.4597832883781903,1893
beta,beta_B,-2.8886802772482882,3.6775158470617386,1.7618402734716563,0.7421120468919153,1976
beta,beta_C,-2.3483031615755645,3.535561970194051,1.4690791973041453,0.5288946768393858,1870
beta,beta_D,-2.416948606728452,3.902309953995048,1.3082526818806839,0.495164609439317,2072
beta,beta_E,-2.3541549893224345,3.6741845817655783,1.3901042088203424,0.5069988389708198,1905
beta,beta_F,-2.4108576821586167,3.428806114446499,1.5863052769983392,0.5777614957849515,1926
beta,beta_G,-2.4443622131355176,3.4456896183945904,1.5994448550452578,0.5896220593534962,1925
beta,beta_H,-2.3728358472218267,3.5567075450531163,1.4728448977034412,0.5355960171138769,1875
