cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.574628316585621,2.9279006905573755,0.625226184714285,-0.09760222246922369,9346
alpha,alpha_B,-0.5440022552905185,2.9002976185649207,0.6156048866932764,-0.11023750320880216,9332
alpha,alpha_C,-0.5358421313741545,3.1180779504485696,0.5582873539666997,-0.10504613890716218,9332
alpha,alpha_D,-0.556375252734859,2.8876601584732966,0.6259521732091151,-0.10599660137434298,9351
alpha,alpha_E,-0.6588492492196838,2.9753454962547,0.6589902734912616,-0.0653855106423297,9352
alpha,alpha_F,-0.6938973865145666,2.90952289246737,0.6984349470152695,-0.054138223902022324,9354
alpha,alpha_G,-0.48649496401458003,3.1328796064420246,0.5307230583236409,-0.12206028701836846,9350
alpha,alpha_H,-0.5710456469118831,2.9153031650015455,0.6266401703749529,-0.0993942467109194,9346
alpha,alpha_I,-0.5495745668484897,2.9220680586162393,0.6129138692232623,-0.10725930893684811,9343
alpha,alpha_J,-0.6117700969638061,2.953786823575254,0.6388015618462308,-0.0830028105478844,9332
beta,beta_A,-6.1610959678530755,2.645228210217552,13.146223692376362,6.454546189642226,1893
beta,beta_B,-7.894351281507532,3.1098341192328807,15.626030854346421,8.6412854236361,1976
beta,beta_C,-6.630943558243765,2.7924351002760326,13.556474680434018,6.9342082475921165,1870
beta,beta_D,-6.353960112243909,2.7145345418700852,13.194461407709452,6.603314998869846,2072
beta,beta_E,-6.3086641163459545,2.687066167106727,13.340868848427837,6.632873457027771,1905
beta,beta_F,-6.40929032492056,2.7197096486963215,13.413252843743884,6.729687812523828,1926
beta,beta_G,-6.954480279531024,2.9841730391223145,12.658817784652419,6.740948505326581,1925
beta,beta_H,-6.742634337899674,2.82222832389512,13.721959757377775,7.0759800944088305,1875
