cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,0.5401869149672478,0.7381751681776484,0.5159476318403866,-5.5509792011086345,9358
alpha,alpha_B,0.6291243614344381,0.7090832701056902,0.3602709258642733,-7.021747841547249,9343
alpha,alpha_C,0.5776456071824796,0.7736539384858059,0.4170025505984584,-5.308107629316079,9343
alpha,alpha_D,0.5473415498961377,0.730068140358641,0.5081152682771677,-5.7550247394104455,9363
alpha,alpha_E,0.4550158393786796,0.7510495158241086,0.6859206515798213,-4.663215255378171,9364
alpha,alpha_F,0.45979505468649573,0.737446222676077,0.6912465308818272,-4.885305324751097,9366
alpha,alpha_G,0.5820112044872523,0.7369771132469423,0.43328058952413684,-5.954724670756231,9362
alpha,alpha_H,0.5423593089748002,0.7345043136559573,0.5146166485786134,-5.6323949897848635,9358
alpha,alpha_I,0.5399486942923009,0.743205217284517,0.5121696751272053,-5.46609699925889,9355
alpha,alpha_J,0.5374068252641773,0.740429720350519,0.5197238309428984,-5.489182462222895,9343
beta,beta_A,-2.7933950493209743,0.6166282445780238,365.57172593461553,22.477204268441128,1961
beta,beta_B,-3.202763270812973,0.6608029928300247,457.9766680968296,34.32355969811983,2067
beta,beta_C,-3.1387940039186764,0.6678422667200787,389.9629288117629,29.913520602174067,1959
beta,beta_D,-3.77336584131913,0.8153751290463371,288.1419198229142,35.18395141702265,2110
beta,beta_E,-3.4800912206822523,0.7124566407661208,433.37063280845246,39.26060542772441,1992
beta,beta_F,-2.9895177330504117,0.6236244153475223,468.8653132855704,30.034896241324148,2013
beta,beta_G,-3.0100310968461463,0.6480101504108516,383.7427393554101,27.148639175932825,2014
beta,beta_H,-3.2077934455681834,0.6774310310426249,396.81377338412966,31.605501844519203,1963
