cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.5787923269885086,2.927081776028588,0.6277609949091478,-0.09607046197722113,9358
alpha,alpha_B,-0.5483491057434665,2.899433901803294,0.6182600638063152,-0.10860880939107909,9343
alpha,alpha_C,-0.5414284593827524,3.1158591160792257,0.5615768630839812,-0.10314517519835521,9343
alpha,alpha_D,-0.5605595465050461,2.8869405407989115,0.6285078248730511,-0.1044224803431076,9363
alpha,alpha_E,-0.663419529035031,2.974121481956964,0.6618877640030412,-0.06377733747573212,9364
alpha,alpha_F,-0.6955287660138518,2.9102953895890002,0.6991483566937702,-0.05353274342958306,9366
alpha,alpha_G,-0.4909418616994024,3.131171912935563,0.5332545076997541,-0.12053824430148907,9362
alpha,alpha_H,-0.5752044958472209,2.914521213564075,0.6291755886471544,-0.09785450595793296,9358
alpha,alpha_I,-0.5541017492752152,2.9211566247877028,0.615656451370205,-0.10557976341189211,9355
alpha,alpha_J,-0.6166370183304691,2.9526461628154372,0.6418183419989125,-0.08125244651524359,9343
beta,beta_A,-4.402773581923153,2.0401413120731813,12.110142567610149,4.71308714603532,1961
beta,beta_B,-4.9827655649988865,2.1138221964856014,14.769332704001227,6.07376845012057,2067
beta,beta_C,-4.711736076498521,2.120822420500173,12.751789735167806,5.185088683398787,1959
beta,beta_D,-6.05659745629319,2.613500957260838,13.036024995758224,6.339176097652074,2110
beta,beta_E,-4.506601356359617,2.0625206183671114,12.407362194460916,4.89550395820408,1992
beta,beta_F,-4.456708304003336,2.025797488646204,12.71144914069542,4.9400837310839405,2013
beta,beta_G,-4.667275946731203,2.157265652634284,11.887778089329208,4.875257967639355,2014
beta,beta_H,-4.724821612868976,2.1210243818011767,12.833439807981275,5.222285505808758,1963
