cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.1109501908086062,3.722383050334317,0.293599512061115,-0.21873836899677923,9358
alpha,alpha_B,-0.0904554495520996,3.675134940365965,0.2906701757385403,-0.2286745067159551,9343
alpha,alpha_C,-0.0632206614730478,3.8689894060399093,0.26533582189915716,-0.22465215459755034,9343
alpha,alpha_D,-0.10044884226943024,3.677303487888984,0.293987731562715,-0.22519120996499986,9363
alpha,alpha_E,-0.17952153108047705,3.7614971382212112,0.3138760288623336,-0.19426316848746053,9364
alpha,alpha_F,-0.21426195839652648,3.6729601562426515,0.3351187484835463,-0.18809398753980788,9366
alpha,alpha_G,-0.0284568655342756,3.901293426161528,0.25166923213879416,-0.23354189412789586,9362
alpha,alpha_H,-0.10936541654683568,3.710722613368561,0.29409357324280594,-0.2200171180906521,9358
alpha,alpha_I,-0.09212556201213341,3.687499986398958,0.2901505218221552,-0.22727036576207188,9355
alpha,alpha_J,-0.12293320645292538,3.7545835902667952,0.2948727520673762,-0.2127955824908878,9343
beta,beta_A,-4.8627035578870625,3.710634374963551,3.659093104400057,1.9509718601721748,1961
beta,beta_B,-6.413593066015698,4.343227414340143,4.321595363012648,2.6024113564404927,2067
beta,beta_C,-5.435294913473024,3.9542740197245987,3.8979202432341014,2.190771706388012,1959
beta,beta_D,-5.215010926875851,3.8544332095579157,3.8201959933852265,2.1054732053498815,2110
beta,beta_E,-5.15219530770911,3.823466833769646,3.80243890626143,2.0830355591917473,1992
beta,beta_F,-5.116934636874423,3.749827803633236,3.906373308117983,2.1224629313642813,2013
beta,beta_G,-5.562548032590822,4.027956308921159,3.910321796829912,2.224026077577994,2014
beta,beta_H,-5.573113910942687,4.028724948152529,3.9217221677986833,2.2317707430675533,1963
