station,date,required_mwh_b,outcome_c,p_c,r_best_c,thr_c,ratio_c,best_start_c,best_end_c,true_start_c,true_end_c,iou_b,sigma_b
beta_B,2023-10-03,16.909328000000002,UNCERTAIN,0.6632246883720029,14.743584002940938,15.62603085434642,0.9435271272896517,37,55,39,54,0.8978271401152366,0.0039235399505894
beta_B,2023-10-27,20.334347,AUTO_KEEP,0.2675529223606981,8.158448928428424,15.62603085434642,0.5221062856252541,37,54,43,53,0.7220591722258755,0.1288072896884529
beta_B,2023-11-27,13.7997425,AUTO_KEEP,0.0011067370828603,0.4193767511125859,15.62603085434642,0.026838341420267656,38,59,41,56,0.5419715616324181,0.003642312123957
beta_B,2024-01-20,24.743228,UNCERTAIN,0.5850594649933866,13.139796063957023,15.62603085434642,0.8408914705491034,39,57,43,61,0.19825285124479314,0.0755305773464343
beta_B,2024-04-18,27.5263605,UNCERTAIN,0.6916308154119178,15.41596005569247,15.62603085434642,0.986556355826245,40,54,40,55,0.9407471794173443,0.0024688294446355
beta_B,2024-05-29,19.8286845,UNCERTAIN,0.5373040996884418,12.284307519116728,15.62603085434642,0.7861438156382379,40,59,42,56,0.8239242805319621,0.0347026807304331
beta_B,2024-05-30,18.4612765,UNCERTAIN,0.5814134177511688,13.07175845183225,15.62603085434642,0.8365373506347781,40,55,42,56,0.8889768554202873,0.032543989273055
beta_B,2024-07-11,10.9695085,AUTO_KEEP,0.0046946425406267,1.2615079939292937,15.62603085434642,0.08073118539749985,43,52,43,52,1.0,0.0305056867156592
beta_B,2024-07-25,16.8337595,AUTO_KEEP,0.1036615072659041,5.327123253481905,15.62603085434642,0.340913396571219,43,58,44,55,0.7760128261070044,0.07068976944596
beta_B,2024-07-28,13.082795000000004,AUTO_KEEP,0.1913527889717855,6.965062609653716,15.62603085434642,0.445734599821065,41,58,43,56,0.8507219382536436,7.618612022142202e-05
beta_B,2024-09-25,25.537891499999997,UNCERTAIN,0.3547510496680405,9.445257826653195,15.62603085434642,0.6044566220746949,44,62,48,61,0.8437981068249113,0.0002157938379063
beta_D,2023-11-22,2.533563,UNCERTAIN,0.6882142183316801,12.907123244329073,13.194461407709452,0.9782228198255604,51,63,52,58,0.8624896787216474,0.0916512455825109
beta_D,2024-05-07,2.4630235,AUTO_KEEP,0.0961219379448719,3.5500301898583406,13.194461407709452,0.26905457374592623,48,53,47,49,0.9703393428182947,0.1257706733785868
beta_F,2023-12-13,5.581597,UNCERTAIN,0.6664082974751463,12.61322318583815,13.413252843743884,0.9403552838952948,38,44,38,59,0.23842513173201144,0.0354605569020232
