weight_id,search_origin,weight_F1,weight_F3,weight_F4,excluded_outer_substation,inner_substations,inner_macro_precision,inner_macro_recall,inner_macro_f1,inner_pooled_tp,inner_pooled_fp,inner_pooled_fn,mean_inner_threshold,minimum_inner_threshold,maximum_inner_threshold,selection_context
weight_0001,grid,0.05,0.05,0.9,beta_A,7,0.6082786490042501,0.7014798404210169,0.6414786289265605,406,88,39,0.9306027293205261,0.9296267628669739,0.9357056021690369,outer_holdout_beta_A
weight_0002,grid,0.05,0.1,0.8500000000000001,beta_A,7,0.5660699539161308,0.6194654831629622,0.5772496310846912,356,105,89,0.9134128008569989,0.9104521870613098,0.9150007367134094,outer_holdout_beta_A
weight_0003,grid,0.05,0.15000000000000002,0.8,beta_A,7,0.47577607966549806,0.5082101931681764,0.4787678022150836,318,156,127,0.9015082035745893,0.9008641839027405,0.9024952054023743,outer_holdout_beta_A
weight_0004,grid,0.05,0.2,0.75,beta_A,7,0.4763058834752435,0.40445254465422537,0.38169715270980625,258,172,187,0.9003412212644305,0.8839787244796753,0.9096294641494751,outer_holdout_beta_A
weight_0005,grid,0.05,0.25,0.7000000000000001,beta_A,7,0.39568289411406915,0.5770789042889884,0.3387246124049992,284,687,161,0.8620272959981646,0.8438960313796997,0.9073852896690369,outer_holdout_beta_A
weight_0006,grid,0.05,0.30000000000000004,0.65,beta_A,7,0.29374906012929547,0.6756793141499023,0.37520966935545,374,803,71,0.8366213526044574,0.8365354537963867,0.8371367454528809,outer_holdout_beta_A
weight_0007,grid,0.05,0.35000000000000003,0.6000000000000001,beta_A,7,0.27639572359902004,0.6892138431130027,0.3615768227080712,385,890,60,0.8094121984073094,0.7780866622924805,0.823493480682373,outer_holdout_beta_A
weight_0008,grid,0.05,0.4,0.55,beta_A,7,0.27290301497018965,0.7281499508894466,0.35940682934449597,393,1108,52,0.7712266445159912,0.7545084953308105,0.8074491024017334,outer_holdout_beta_A
weight_0009,grid,0.05,0.45,0.5,beta_A,7,0.2703511247809128,0.71770882898614,0.3557239521665236,390,1118,55,0.751322363104139,0.733985960483551,0.7930527925491333,outer_holdout_beta_A
weight_0010,grid,0.05,0.5,0.45,beta_A,7,0.26658180542877646,0.7168939575830332,0.3520543808170763,390,1154,55,0.7225143909454346,0.6966210007667542,0.7808544635772705,outer_holdout_beta_A
weight_0011,grid,0.05,0.55,0.4,beta_A,7,0.2661808482611928,0.7871926225035468,0.36405849908971816,427,1208,18,0.6861452886036464,0.6755639314651489,0.6903778314590454,outer_holdout_beta_A
weight_0012,grid,0.05,0.6000000000000001,0.35000000000000003,beta_A,7,0.2643873677039637,0.74333507948634,0.35671697917530004,407,1187,38,0.6742207663399833,0.6540828943252563,0.7520595788955688,outer_holdout_beta_A
weight_0013,grid,0.05,0.65,0.30000000000000004,beta_A,7,0.2640853196018894,0.7310407071919676,0.35241423705884073,396,1187,49,0.6679998465946743,0.6281253695487976,0.7350348830223083,outer_holdout_beta_A
weight_0014,grid,0.05,0.7000000000000001,0.25,beta_A,7,0.2664018191859389,0.7256863230140541,0.35533427096148396,397,1144,48,0.6678783297538757,0.6434876322746277,0.7180147171020508,outer_holdout_beta_A
weight_0015,grid,0.05,0.75,0.2,beta_A,7,0.2666489034602871,0.7437099203317691,0.3591882232321022,407,1132,38,0.6572821821485247,0.6478754281997681,0.6668049693107605,outer_holdout_beta_A
weight_0016,grid,0.05,0.8,0.15000000000000002,beta_A,7,0.26724177577693636,0.7369363017934446,0.35828904707421333,402,1119,43,0.6492924860545567,0.6220690011978149,0.6717190742492676,outer_holdout_beta_A
weight_0017,grid,0.05,0.8500000000000001,0.1,beta_A,7,0.26481550337465765,0.7548870457273819,0.35786820072096265,409,1190,36,0.6199077027184623,0.5993176102638245,0.6613640189170837,outer_holdout_beta_A
weight_0018,grid,0.05,0.9,0.05,beta_A,7,0.2618985536368293,0.7975338499035978,0.3552072686612234,413,1238,32,0.6031905668122428,0.543681263923645,0.6169618368148804,outer_holdout_beta_A
weight_0019,grid,0.1,0.05,0.8500000000000001,beta_A,7,0.613911448676106,0.6639998302351243,0.6047667478502563,376,92,69,0.9008583681924003,0.8742861151695251,0.914734959602356,outer_holdout_beta_A
weight_0020,grid,0.1,0.1,0.8,beta_A,7,0.6082786490042501,0.7014798404210169,0.6414786289265605,406,88,39,0.861205518245697,0.8592535853385925,0.8714112639427185,outer_holdout_beta_A
weight_0021,grid,0.1,0.15000000000000002,0.75,beta_A,7,0.6171059138544951,0.6654668170298422,0.6325752614493295,375,75,70,0.844802703176226,0.8383680582046509,0.8462893962860107,outer_holdout_beta_A
weight_0022,grid,0.1,0.2,0.7000000000000001,beta_A,7,0.5660699539161308,0.6194654831629622,0.5772496310846912,356,105,89,0.8268255591392517,0.8209043741226196,0.8300014138221741,outer_holdout_beta_A
weight_0023,grid,0.1,0.25,0.65,beta_A,7,0.5325432115820254,0.5642520280839608,0.5208957372987969,327,121,118,0.8151462929589408,0.8052577972412109,0.8173491954803467,outer_holdout_beta_A
weight_0024,grid,0.1,0.30000000000000004,0.6000000000000001,beta_A,7,0.47577607966549806,0.5082101931681764,0.4787678022150836,318,156,127,0.8030164156641278,0.8017284274101257,0.8049904108047485,outer_holdout_beta_A
weight_0025,grid,0.1,0.35000000000000003,0.55,beta_A,7,0.46853558627752173,0.41680470976269296,0.40649882365905626,276,191,169,0.8016863209860665,0.791785717010498,0.8301527500152588,outer_holdout_beta_A
weight_0026,grid,0.1,0.4,0.5,beta_A,7,0.47579724710844,0.40445254465422537,0.38138828612324743,258,173,187,0.8006824680737087,0.7679575085639954,0.8192589282989502,outer_holdout_beta_A
weight_0027,grid,0.1,0.45,0.45,beta_A,7,0.40542056619131966,0.5163664011058968,0.3660644543680257,276,344,169,0.7691111734935215,0.7061963081359863,0.8093661069869995,outer_holdout_beta_A
