regime,model,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
beta_only,dnn,beta_sure,pooled,,2310,471,385,89,86,1750,0.8122362869198312,0.8174097664543525,0.8148148148148148
beta_only,dnn,beta_sure,substation,beta_A,337,26,25,37,1,274,0.4032258064516129,0.9615384615384616,0.5681818181818181
beta_only,dnn,beta_sure,substation,beta_B,231,125,85,2,40,104,0.9770114942528736,0.68,0.8018867924528302
beta_only,dnn,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
beta_only,dnn,beta_sure,substation,beta_D,188,45,38,19,7,124,0.6666666666666666,0.8444444444444444,0.7450980392156862
beta_only,dnn,beta_sure,substation,beta_E,308,21,17,8,4,279,0.68,0.8095238095238095,0.7391304347826089
beta_only,dnn,beta_sure,substation,beta_F,287,165,157,14,8,108,0.9181286549707602,0.9515151515151515,0.9345238095238095
beta_only,dnn,beta_sure,substation,beta_G,283,85,62,8,23,190,0.8857142857142857,0.7294117647058823,0.7999999999999998
beta_only,dnn,beta_sure,substation,beta_H,337,4,1,1,3,332,0.5,0.25,0.3333333333333333
beta_only,dnn,beta_sure,macro_substation,,2310,471,385,89,86,1750,0.6288433635070249,0.6533042039659687,0.6152692784362608
beta_only,dnn,beta_all,pooled,,2928,630,472,216,158,2082,0.686046511627907,0.7492063492063492,0.7162367223065251
beta_only,dnn,beta_all,substation,beta_A,366,29,28,50,1,287,0.358974358974359,0.9655172413793104,0.5233644859813085
beta_only,dnn,beta_all,substation,beta_B,366,152,95,16,57,198,0.8558558558558559,0.625,0.7224334600760456
beta_only,dnn,beta_all,substation,beta_C,366,13,0,0,13,353,0.0,0.0,0.0
beta_only,dnn,beta_all,substation,beta_D,366,76,60,64,16,226,0.4838709677419355,0.7894736842105263,0.6
beta_only,dnn,beta_all,substation,beta_E,366,44,37,20,7,302,0.6491228070175439,0.8409090909090909,0.7326732673267327
beta_only,dnn,beta_all,substation,beta_F,366,184,171,45,13,137,0.7916666666666666,0.9293478260869565,0.8550000000000001
beta_only,dnn,beta_all,substation,beta_G,366,117,77,16,40,233,0.8279569892473119,0.6581196581196581,0.7333333333333334
beta_only,dnn,beta_all,substation,beta_H,366,15,4,5,11,346,0.4444444444444444,0.26666666666666666,0.33333333333333337
beta_only,dnn,beta_all,macro_substation,,2928,630,472,216,158,2082,0.5514865112435147,0.6343792709215261,0.5625172350063442
beta_only,random_forest,beta_sure,pooled,,2310,471,405,96,66,1743,0.8083832335329342,0.8598726114649682,0.8333333333333334
beta_only,random_forest,beta_sure,substation,beta_A,337,26,25,24,1,287,0.5102040816326531,0.9615384615384616,0.6666666666666667
beta_only,random_forest,beta_sure,substation,beta_B,231,125,88,2,37,104,0.9777777777777777,0.704,0.8186046511627907
beta_only,random_forest,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
beta_only,random_forest,beta_sure,substation,beta_D,188,45,40,25,5,118,0.6153846153846154,0.8888888888888888,0.7272727272727274
beta_only,random_forest,beta_sure,substation,beta_E,308,21,16,12,5,275,0.5714285714285714,0.7619047619047619,0.6530612244897959
beta_only,random_forest,beta_sure,substation,beta_F,287,165,164,21,1,101,0.8864864864864865,0.9939393939393939,0.9371428571428572
beta_only,random_forest,beta_sure,substation,beta_G,283,85,72,11,13,187,0.8674698795180723,0.8470588235294118,0.8571428571428572
beta_only,random_forest,beta_sure,substation,beta_H,337,4,0,1,4,332,0.0,0.0,0.0
beta_only,random_forest,beta_sure,macro_substation,,2310,471,405,96,66,1743,0.5535939265285221,0.6446662912251147,0.5824863729847118
