regime,outer_identifier,model,hyperparameter_id,parameters_json,inner_macro_precision,inner_macro_recall,inner_macro_f1,outer_training_rows,outer_threshold
beta_only,beta_A,dnn,dnn_02,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [32, 16], ""max_iter"": 500}",0.5858189081675469,0.7117656517152317,0.6326252289456018,1973,0.5847451847985974
beta_only,beta_A,random_forest,random_forest_03,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.6174174074435016,0.6877125880655293,0.6397930806129936,1973,0.5782333446916014
beta_only,beta_A,xgboost,xgboost_01,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.6645483013070647,0.6208770295997186,0.6302088682311731,1973,0.7714071273803711
beta_only,beta_B,dnn,dnn_03,"{""alpha"": 0.001, ""hidden_layer_sizes"": [32, 16], ""max_iter"": 500}",0.6369873450633387,0.6214003083750983,0.6111362380711276,2079,0.8350110840807512
beta_only,beta_B,random_forest,random_forest_05,"{""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.5643126216003643,0.6358941711882888,0.5913924646044094,2079,0.6043060754458703
beta_only,beta_B,xgboost,xgboost_00,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.6006313191169824,0.5792450313458718,0.5844025638114189,2079,0.8442511558532715
beta_only,beta_C,dnn,dnn_03,"{""alpha"": 0.001, ""hidden_layer_sizes"": [32, 16], ""max_iter"": 500}",0.6990294783658084,0.8139558611323316,0.7230372996262754,1971,0.7840264472999682
beta_only,beta_C,random_forest,random_forest_03,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.6943071393612248,0.8141267490679255,0.7329650262845305,1971,0.5821356395830641
beta_only,beta_C,xgboost,xgboost_00,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.7721335676998974,0.7557572604799496,0.7519765312102507,1971,0.8088023662567139
beta_only,beta_D,dnn,dnn_02,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [32, 16], ""max_iter"": 500}",0.5936916788739824,0.6520664825370707,0.5921890018307009,2122,0.8318568235449483
beta_only,beta_D,random_forest,random_forest_03,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.5981531562901404,0.6803745330299952,0.6202115300617652,2122,0.6175953311170691
