dataset,feature,rows,finite_rows,minimum,maximum,mean_of_substation_means,nonfinite_rows
alpha,F1_bridge_improvement,7521932,7521932,-0.9999778866767883,0.9964942932128906,-0.7734555856706081,0
alpha,F2_roughness_improvement,7521932,7521932,-0.9972566366195679,0.7989924550056458,-0.5947301095128503,0
alpha,F3_slope_continuity_improvement,7521932,7521932,-1.0,1.0,-0.290593906698094,0
alpha,F4_duration_plausibility,7521932,7521932,0.3333333432674408,1.0,0.9340736689779924,0
alpha,F5_n_height_ratio,7521932,7521932,0.0,1.0,0.033716110274136415,0
alpha,F6_solar_strength_ratio,7521932,7521932,0.0,1.0,0.7478023816238766,0
alpha,F7_solar_peak_alignment,7521932,7521932,0.0,1.0,0.505307786405259,0
alpha,F8_substation_centered_core_score,7521932,7521932,-1.0,1.0,-0.5056330915762304,0
alpha,F9_substation_rank_core_score,7521932,7521932,-0.9981220364570618,1.0,0.0028710667241007484,0
beta,F1_bridge_improvement,2251955,2251955,-0.9999399781227112,0.9820905327796936,-0.6862971678735023,0
beta,F2_roughness_improvement,2251955,2251955,-0.9844016432762146,0.729833722114563,-0.49330979889226156,0
beta,F3_slope_continuity_improvement,2251955,2251955,-0.9999051690101624,0.9948023557662964,-0.3399790235053054,0
beta,F4_duration_plausibility,2251955,2251955,0.3333333432674408,1.0,0.939136219044714,0
beta,F5_n_height_ratio,2251955,2251955,0.0,1.0,0.04056508329285459,0
beta,F6_solar_strength_ratio,2251955,2251955,0.0,1.0,0.8338669051904847,0
beta,F7_solar_peak_alignment,2251955,2251955,0.0,1.0,0.5250911751818912,0
beta,F8_substation_centered_core_score,2251955,2251955,-1.0,0.8730058073997498,-0.5190080571025906,0
beta,F9_substation_rank_core_score,2251955,2251955,-0.994535505771637,1.0,0.009261775925846495,0
